ID,Asset,File,Width,Height,Sharpness,Status
Sticker-Zen-0001,U3,Sticker-Zen-0001_U3_Grid.png,1024,1024,2615.73,ok
Sticker-Zen-0001,U4,Sticker-Zen-0001_U4_Grid.png,1024,1024,2865.03,ok
Sticker-Zen-0002,Cover,Cover_Mockup.png,1800,1800,2170.65,ok
Sticker-Zen-0002,Production,Production_Design.png,1664,1664,2013.58,ok
Sticker-Zen-0002,U1,Sticker-Zen-0002_U1_Grid.png,1024,1024,2369.73,ok
Sticker-Zen-0002,U2,Sticker-Zen-0002_U2_Grid.png,1024,1024,2914.86,ok
Sticker-Zen-0002,U3,Sticker-Zen-0002_U3_Grid.png,1024,1024,1854.87,ok
Sticker-Zen-0002,U4,Sticker-Zen-0002_U4_Grid.png,1024,1024,2213.31,ok
Sticker-Zen-0003,Cover,Cover_Mockup.png,1800,1800,3231.82,ok
Sticker-Zen-0003,Production,Production_Design.png,1664,1664,3619.24,ok
Sticker-Zen-0003,U1,Sticker-Zen-0003_U1_Grid.png,1024,1024,2291.03,ok
Sticker-Zen-0003,U2,Sticker-Zen-0003_U2_Grid.png,1024,1024,2742.91,ok
Sticker-Zen-0003,U3,Sticker-Zen-0003_U3_Grid.png,1024,1024,3811.9,ok
Sticker-Zen-0003,U4,Sticker-Zen-0003_U4_Grid.png,1024,1024,2012.72,ok
Sticker-Zen-0004,Cover,Cover_Mockup.png,1800,1800,2786.09,ok
Sticker-Zen-0004,Production,Production_Design.png,1664,1664,3061.31,ok
Sticker-Zen-0004,U1,Sticker-Zen-0004_U1_Grid.png,1024,1024,2491.67,ok
Sticker-Zen-0004,U2,Sticker-Zen-0004_U2_Grid.png,1024,1024,1619.91,ok
Sticker-Zen-0004,U3,Sticker-Zen-0004_U3_Grid.png,1024,1024,2934.31,ok
Sticker-Zen-0004,U4,Sticker-Zen-0004_U4_Grid.png,1024,1024,4644.23,ok
Sticker-Zen-0005,Cover,Cover_Mockup.png,1800,1800,1898.97,ok
Sticker-Zen-0005,Production,Production_Design.png,1664,1664,2023.56,ok
Sticker-Zen-0005,U1,Sticker-Zen-0005_U1_Grid.png,1024,1024,1301.75,ok
Sticker-Zen-0005,U2,Sticker-Zen-0005_U2_Grid.png,1024,1024,2385.89,ok
Sticker-Zen-0005,U3,Sticker-Zen-0005_U3_Grid.png,1024,1024,2823.99,ok
Sticker-Zen-0005,U4,Sticker-Zen-0005_U4_Grid.png,1024,1024,1027.28,ok
Sticker-Zen-0006,Cover,Cover_Mockup.png,1800,1800,198.15,ok
Sticker-Zen-0006,Production,Production_Design.png,1664,1664,158.09,ok
Sticker-Zen-0006,U1,Sticker-Zen-0006_U1_Grid.png,256,256,503.71,low_resolution
Sticker-Zen-0006,U2,Sticker-Zen-0006_U2_Grid.png,256,256,1008.66,low_resolution
Sticker-Zen-0006,U3,Sticker-Zen-0006_U3_Grid.png,256,256,531.89,low_resolution
Sticker-Zen-0006,U4,Sticker-Zen-0006_U4_Grid.png,256,256,1029.45,low_resolution
Sticker-Zen-0007,Cover,Cover_Mockup.png,1800,1800,1712.95,ok
Sticker-Zen-0007,Production,Production_Design.png,1664,1664,1879.32,ok
Sticker-Zen-0007,U1,Sticker-Zen-0007_U1_Grid.png,1024,1024,1808.78,ok
Sticker-Zen-0007,U2,Sticker-Zen-0007_U2_Grid.png,1024,1024,1489.3,ok
Sticker-Zen-0007,U3,Sticker-Zen-0007_U3_Grid.png,1024,1024,1604.02,ok
Sticker-Zen-0007,U4,Sticker-Zen-0007_U4_Grid.png,1024,1024,2687.28,ok
Sticker-Zen-0008,Cover,Cover_Mockup.png,1800,1800,3283.44,ok
Sticker-Zen-0008,Production,Production_Design.png,1664,1664,3301.75,ok
Sticker-Zen-0008,U1,Sticker-Zen-0008_U1_Grid.png,1024,1024,3913.1,ok
Sticker-Zen-0008,U2,Sticker-Zen-0008_U2_Grid.png,1024,1024,2443.97,ok
Sticker-Zen-0008,U3,Sticker-Zen-0008_U3_Grid.png,1024,1024,2889.27,ok
Sticker-Zen-0008,U4,Sticker-Zen-0008_U4_Grid.png,1024,1024,4097.49,ok
Sticker-Zen-0009,Cover,Cover_Mockup.png,1800,1800,2183.89,ok
Sticker-Zen-0009,Production,Production_Design.png,1664,1664,2390.1,ok
Sticker-Zen-0009,U1,Sticker-Zen-0009_U1_Grid.png,1024,1024,3446.66,ok
Sticker-Zen-0009,U2,Sticker-Zen-0009_U2_Grid.png,1024,1024,2733.88,ok
Sticker-Zen-0009,U3,Sticker-Zen-0009_U3_Grid.png,1024,1024,2136.65,ok
Sticker-Zen-0009,U4,Sticker-Zen-0009_U4_Grid.png,1024,1024,1971.31,ok
Sticker-Zen-0010,Cover,Cover_Mockup.png,1800,1800,3265.11,ok
Sticker-Zen-0010,Production,Production_Design.png,1664,1664,3673.65,ok
Sticker-Zen-0010,U1,Sticker-Zen-0010_U1_Grid.png,1024,1024,3543.4,ok
Sticker-Zen-0010,U2,Sticker-Zen-0010_U2_Grid.png,1024,1024,4181.56,ok
Sticker-Zen-0010,U3,Sticker-Zen-0010_U3_Grid.png,1024,1024,5001.8,ok
Sticker-Zen-0010,U4,Sticker-Zen-0010_U4_Grid.png,1024,1024,2350.5,ok
Sticker-Zen-0021,Cover,Cover_Mockup.png,1800,1800,198.15,ok
Sticker-Zen-0021,Production,Production_Design.png,1664,1664,158.09,ok
Sticker-Zen-0021,U1,Sticker-Zen-0021_U1_Grid.png,256,256,503.71,low_resolution
Sticker-Zen-0021,U2,Sticker-Zen-0021_U2_Grid.png,256,256,1008.66,low_resolution
Sticker-Zen-0021,U3,Sticker-Zen-0021_U3_Grid.png,256,256,531.89,low_resolution
Sticker-Zen-0021,U4,Sticker-Zen-0021_U4_Grid.png,256,256,1029.45,low_resolution
Sticker-Zen-0022,Cover,Cover_Mockup.png,1800,1800,2695.79,ok
Sticker-Zen-0022,Production,Production_Design.png,1664,1664,2534.93,ok
Sticker-Zen-0022,U1,Sticker-Zen-0022_U1_Grid.png,1024,1024,3103.78,ok
Sticker-Zen-0022,U2,Sticker-Zen-0022_U2_Grid.png,1024,1024,5419.43,ok
Sticker-Zen-0022,U3,Sticker-Zen-0022_U3_Grid.png,1024,1024,1756.52,ok
Sticker-Zen-0022,U4,Sticker-Zen-0022_U4_Grid.png,1024,1024,1361.97,ok
Sticker-Zen-0023,Cover,Cover_Mockup.png,1800,1800,259.76,ok
Sticker-Zen-0023,Production,Production_Design.png,1664,1664,176.43,ok
Sticker-Zen-0023,U1,Sticker-Zen-0023_U1_Grid.png,256,256,546.01,low_resolution
Sticker-Zen-0023,U2,Sticker-Zen-0023_U2_Grid.png,256,256,1002.08,low_resolution
Sticker-Zen-0023,U3,Sticker-Zen-0023_U3_Grid.png,256,256,125.43,low_resolution
Sticker-Zen-0023,U4,Sticker-Zen-0023_U4_Grid.png,256,256,53.49,soft_or_blurry
Sticker-Zen-0024,Cover,Cover_Mockup.png,1800,1800,2012.11,ok
Sticker-Zen-0024,Production,Production_Design.png,1664,1664,2012.54,ok
Sticker-Zen-0024,U1,Sticker-Zen-0024_U1_Grid.png,1024,1024,1958.54,ok
Sticker-Zen-0024,U2,Sticker-Zen-0024_U2_Grid.png,1024,1024,2016.4,ok
Sticker-Zen-0024,U3,Sticker-Zen-0024_U3_Grid.png,1024,1024,2171.16,ok
Sticker-Zen-0024,U4,Sticker-Zen-0024_U4_Grid.png,1024,1024,2150.3,ok
Sticker-Zen-0025,Cover,Cover_Mockup.png,1800,1800,1632.27,ok
Sticker-Zen-0025,Production,Production_Design.png,1664,1664,1732.48,ok
Sticker-Zen-0025,U1,Sticker-Zen-0025_U1_Grid.png,1024,1024,1594.19,ok
Sticker-Zen-0025,U2,Sticker-Zen-0025_U2_Grid.png,1024,1024,1159.48,ok
