Path,Verdict,Reason,Width,Height,Mean_Luma,Stddev_Luma,Black_Clip_Pct,White_Clip_Pct,Edge_Energy
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\_printify_upload\Gallery_U1_q92.jpg,PASS,,1800,2700,38.91,50.91,12.26,0.64,28.37
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\_printify_upload\Gallery_U2_q92.jpg,PASS,,1800,2700,49.11,62.96,7.30,1.60,37.75
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\_printify_upload\Gallery_U3_q92.jpg,PASS,,1800,2700,50.08,61.50,5.45,1.35,42.47
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\_printify_upload\Gallery_U4_q92.jpg,PASS,,1800,2700,40.04,48.98,9.93,0.24,37.91
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\_printify_upload\Production_Design_q92.jpg,PASS,,3600,5400,39.50,49.31,8.59,0.38,27.79
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Gallery_U1.png,PASS,,1800,2700,38.90,50.93,12.28,0.64,28.36
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Gallery_U2.png,PASS,,1800,2700,49.10,62.98,7.33,1.62,37.77
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Gallery_U3.png,PASS,,1800,2700,50.07,61.51,5.50,1.36,42.49
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Gallery_U4.png,PASS,,1800,2700,40.03,48.99,9.98,0.24,37.93
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Poster-Academia-0042_Grid.png,PASS,,1792,2688,37.62,41.26,5.52,0.17,26.17
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Poster-Academia-0042_U1.png,HOLD,LOW_RESOLUTION,896,1344,36.40,39.98,4.51,0.25,19.68
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Poster-Academia-0042_U2.png,HOLD,LOW_RESOLUTION,896,1344,42.71,41.44,1.98,0.16,21.69
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Poster-Academia-0042_U3.png,HOLD,LOW_RESOLUTION,896,1344,31.97,42.28,8.62,0.27,22.28
Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0042_Ready_for_Steaming\Poster-Academia-0042_U4.png,HOLD,LOW_RESOLUTION,896,1344,39.45,49.31,8.62,0.39,27.74
