ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Selected_Count,Expected_Count,Default_Count,Default_Indexes,Result,Error
Acrylic-Zen-0002,Acrylic,Printify_Published_Mockups5,69f2a8a5357398ded80f8faf,406902657898,5,4,2,0|1,CHECK,
Acrylic-Zen-0003,Acrylic,Printify_Published_Mockups5,69f2a9b45f78c14a7b0a7290,406902673249,5,4,2,0|1,CHECK,
Poster-Academia-0085,Poster,Printify_Published_Mockups5,69f2b132cd8d04605103fdaa,406902882943,5,4,2,0|1,CHECK,
Poster-Academia-0091,Poster,Printify_Published_Mockups5,69f2b7ada7777da1971028d7,406902887127,5,4,2,0|1,CHECK,
Acrylic-Academia-0003,Acrylic,Printify_Published_Mockups5,69f2b9c3caeb1241880bae85,406902703464,5,4,2,0|1,CHECK,
Acrylic-Grimdark-0083,Acrylic,Printify_Published_Mockups5,69f2bac6343d8ca093077dd8,406902885214,5,4,2,0|1,CHECK,
Acrylic-Zen-0004,Acrylic,Printify_Published_Mockups5,69f2bbbc343d8ca093077e9a,406902888077,5,4,2,0|1,CHECK,
Acrylic-Zen-0005,Acrylic,Printify_Published_Mockups5,69f2c22e9b469f716d0ea954,406902893289,5,4,2,0|1,CHECK,
Poster-Zen-0001,Poster,Printify_Published_Mockups5,69f2dc76cd8d046051041f06,406902890971,5,4,2,0|1,CHECK,
Poster-Zen-0002,Poster,Printify_Published_Mockups5,69f2cf675f78c14a7b0a894c,406902897663,5,4,2,0|1,CHECK,
Acrylic-Zen-0006,Acrylic,Printify_Published_Mockups5,69f2d2a1c326d7da170c51b4,406902898909,5,4,2,0|1,CHECK,
Acrylic-Zen-0007,Acrylic,Printify_Published_Mockups5,69f2d3ab5f78c14a7b0a8b87,406903028253,5,4,2,0|1,CHECK,
Acrylic-Zen-0008,Acrylic,Printify_Published_Mockups5,69f2d49b81039eb9ab0b583c,406903036452,5,4,2,0|1,CHECK,
Poster-Zen-0004,Poster,Printify_Published_Mockups5,69f2dddb9577aaffd506bc32,406903026999,5,4,2,0|1,CHECK,
Poster-Zen-0005,Poster,Printify_Published_Mockups5,69f2db1a3c6616b960034a37,406903033377,5,4,2,0|1,CHECK,
Acrylic-Academia-0005,Acrylic,Printify_Published_Mockups4,69f80ad2d3b9dc73b1051dbd,406903039716,4,4,1,0,OK,
Acrylic-Grimdark-0085,Acrylic,Printify_Published_Mockups4,69f2e4c77e3402ea470630eb,406903043482,4,4,1,0,OK,
Acrylic-Zen-0009,Acrylic,Printify_Published_Mockups8,69f80f8a83a8608fd80ec283,406903047385,8,4,2,0|4,CHECK,
Acrylic-Zen-0010,Acrylic,Printify_Published_Mockups8,69f810485da263f75f049bf8,406903213858,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0001,Acrylic,Printify_Published_Mockups4,69f82b8aa1a4c45aad055063,406903249745,4,4,1,0,OK,
Acrylic-Grimdark-0004,Acrylic,Printify_Published_Mockups8,69f82c8609f3b7302401cacf,406903250705,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0005,Acrylic,Printify_Published_Mockups4,69f8388b25819cdf3d0538bc,406903251829,4,4,1,0,OK,
Acrylic-Grimdark-0006,Acrylic,Printify_Published_Mockups8,69f83957ffbc831dea082e1a,406903252506,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0007,Acrylic,Printify_Published_Mockups8,69f839eaf9374ed4f105a092,406903731967,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0008,Acrylic,Printify_Published_Mockups4,69f83a955da263f75f04c06a,406903746215,4,4,1,0,OK,
Acrylic-Grimdark-0009,Acrylic,Printify_Published_Mockups4,69f83b5cf9374ed4f105a180,406903749989,4,4,1,0,OK,
Acrylic-Grimdark-0010,Acrylic,Printify_Published_Mockups8,69f83c14ffbc831dea082fa3,406903756190,8,4,2,0|4,CHECK,
Poster-Academia-0005,Poster,Printify_Published_Mockups4,69f847b45da263f75f04cdbd,406903038850,4,4,1,0,OK,
Poster-Academia-0006,Poster,Printify_Published_Mockups5,69f84864feed9979d10cd5ba,406903042690,5,4,2,0|1,CHECK,
Poster-Academia-0008,Poster,Printify_Published_Mockups4,69f84b3d5da263f75f04d1f7,406903046097,4,4,1,0,OK,
Poster-Academia-0009,Poster,Printify_Published_Mockups4,69f8547125819cdf3d05522b,406903209258,4,4,1,0,OK,
Poster-Academia-0010,Poster,Printify_Published_Mockups4,69f854ed09f3b7302401ed2e,406903249496,4,4,1,0,OK,
Poster-Academia-0011,Poster,Printify_Published_Mockups4,69f850b425819cdf3d054e10,406903250376,4,4,1,0,OK,
Poster-Academia-0013,Poster,Printify_Published_Mockups8,69f855abffbc831dea0847c8,406903251282,8,4,2,0|4,CHECK,
Poster-Academia-0014,Poster,Printify_Published_Mockups4,69f8530b5da263f75f04d837,406903252244,4,4,1,0,OK,
Acrylic-Grimdark-0011,Acrylic,Printify_Published_Mockups8,69f863f9f9374ed4f105c588,406903760725,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0012,Acrylic,Printify_UI_Mockups4,69f8647ff9374ed4f105c605,,4,4,1,0,OK,
Acrylic-Grimdark-0013,Acrylic,Printify_UI_Mockups4,69f865a55da263f75f04e768,,4,4,1,0,OK,
Acrylic-Grimdark-0014,Acrylic,Printify_UI_Mockups4,69f8669583a8608fd80f0fdb,,4,4,1,0,OK,
Acrylic-Grimdark-0015,Acrylic,Printify_UI_Mockups4,69f867cc2592a8ad8e0f076e,,4,4,1,0,OK,
Acrylic-Grimdark-0016,Acrylic,Printify_UI_Mockups4,69f86a3d25819cdf3d0563b6,,4,4,1,0,OK,
Acrylic-Grimdark-0017,Acrylic,Printify_UI_Mockups4,69f86b8e83a8608fd80f1341,,4,4,1,0,OK,
Acrylic-Grimdark-0018,Acrylic,Printify_UI_Mockups4,69f86d3709f3b730240200b7,,4,4,1,0,OK,
Acrylic-Grimdark-0019,Acrylic,Printify_UI_Mockups4,69f86f6c2810b52a940a4161,,4,4,1,0,OK,
Acrylic-Grimdark-0021,Acrylic,Printify_UI_Mockups4,69f8807a011b67ecf80761ae,,4,4,1,0,OK,
Acrylic-Grimdark-0022,Acrylic,Printify_UI_Mockups4,69f8818abe136844f0003e48,,4,4,1,0,OK,
Acrylic-Grimdark-0023,Acrylic,Printify_UI_Mockups8,69f882a1be136844f0003eed,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0024,Acrylic,Printify_UI_Mockups8,69f8836c5da263f75f04fad5,,8,4,2,0|4,CHECK,
