ID,Folder_Status,Reasons,Asset,Width,Height,Sharpness,Bytes
Sticker-Zen-0003,ok,,U1,1024,1024,3370.19,1287667
Sticker-Zen-0003,ok,,U2,1024,1024,4285.62,1315217
Sticker-Zen-0003,ok,,U3,1024,1024,5026.39,1416932
Sticker-Zen-0003,ok,,U4,1024,1024,3000.08,1229792
Sticker-Zen-0004,ok,,Cover,1800,1800,3927.41,3522196
Sticker-Zen-0004,ok,,Production,1664,1664,4382.55,3338382
Sticker-Zen-0004,ok,,U1,1024,1024,3581.31,1286594
Sticker-Zen-0004,ok,,U2,1024,1024,2429.29,1157013
Sticker-Zen-0004,ok,,U3,1024,1024,4430.85,1134933
Sticker-Zen-0004,ok,,U4,1024,1024,6269.78,1236660
Sticker-Zen-0005,ok,,Cover,1800,1800,3973.76,3954934
Sticker-Zen-0005,ok,,Production,1664,1664,4216.93,4214736
Sticker-Zen-0005,ok,,U1,1024,1024,1461.47,1165222
Sticker-Zen-0005,ok,,U2,1024,1024,3741.21,1191557
Sticker-Zen-0005,ok,,U3,1024,1024,4892.49,1561707
Sticker-Zen-0005,ok,,U4,1024,1024,1919.36,1090324
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,620.29,1075145
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,556.16,1287957
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,248.33,56170
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,503.87,40465
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,260.75,48229
Sticker-Zen-0006,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,506.68,53654
Sticker-Zen-0007,ok,,Cover,1800,1800,2503.65,3118343
Sticker-Zen-0007,ok,,Production,1664,1664,2702.15,3108587
Sticker-Zen-0007,ok,,U1,1024,1024,2320.96,859983
Sticker-Zen-0007,ok,,U2,1024,1024,2298.42,1053535
Sticker-Zen-0007,ok,,U3,1024,1024,2222.08,1083231
Sticker-Zen-0007,ok,,U4,1024,1024,3144.59,1075819
Sticker-Zen-0008,ok,,Cover,1800,1800,4197.07,5859222
Sticker-Zen-0008,ok,,Production,1664,1664,4286.37,4140459
Sticker-Zen-0008,ok,,U1,1024,1024,4749.63,2284428
Sticker-Zen-0008,ok,,U2,1024,1024,3266.92,1275988
Sticker-Zen-0008,ok,,U3,1024,1024,4260.21,2051620
Sticker-Zen-0008,ok,,U4,1024,1024,5405.88,2303585
Sticker-Zen-0009,ok,,Cover,1800,1800,2321.48,3077948
Sticker-Zen-0009,ok,,Production,1664,1664,2406.71,2877248
Sticker-Zen-0009,ok,,U1,1024,1024,3274.73,1235935
Sticker-Zen-0009,ok,,U2,1024,1024,2564.26,1056696
Sticker-Zen-0009,ok,,U3,1024,1024,2407.91,860713
Sticker-Zen-0009,ok,,U4,1024,1024,2283.09,956801
Sticker-Zen-0010,ok,,Cover,1800,1800,3812.93,3366877
Sticker-Zen-0010,ok,,Production,1664,1664,4197.65,3330950
Sticker-Zen-0010,ok,,U1,1024,1024,4084.59,1003590
Sticker-Zen-0010,ok,,U2,1024,1024,4750.52,1270386
Sticker-Zen-0010,ok,,U3,1024,1024,4936.91,1208401
Sticker-Zen-0010,ok,,U4,1024,1024,3024.58,1036459
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,620.29,1075145
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,556.16,1287957
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,248.33,56170
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,503.87,40465
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,260.75,48229
Sticker-Zen-0021,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,506.68,53654
Sticker-Zen-0022,ok,,Cover,1800,1800,2100.87,5049831
