Product_Family,Priority,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_ID,Variant_Title,Variant_Options,Cost_Cents,Suggested_Retail_Cents,Print_Area,US_Shipping_First_Cents,US_Shipping_Additional_Cents,Shipping_Profile,Decision,Probe_Status,Probe_Timestamp
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91628,"20"" x 10"" (Horizontal) / 1.25""","{""size"": ""20\"" x 10\"" (Horizontal)"", ""depth"": ""1.25\""""}",,,front:6000x3000,949,439,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91629,"20″ x 16″ (Horizontal) / 1.25""","{""size"": ""20″ x 16″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:6000x4800,949,439,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91630,"24″ x 16″ (Horizontal) / 1.25""","{""size"": ""24″ x 16″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:7200x4800,1239,579,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1159,"Matte Canvas, Stretched, 1.25""",105,Jondo,91631,"24″ x 18″ (Horizontal) / 1.25""","{""size"": ""24″ x 18″ (Horizontal)"", ""depth"": ""1.25\""""}",,,front:7200x5400,1239,579,": first={'cost': 2839, 'currency': 'USD'} add={'cost': 1339, 'currency': 'USD'} | : first={'cost': 1239, 'currency': 'USD'} add={'cost': 579, 'currency': 'USD'} | : first={'cost': 1369, 'currency': 'USD'} add={'cost': 639, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:28 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93694,"12"" x 8"" (Horizontal) / 1.5""","{""size"": ""12\"" x 8\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:1778x1188,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93696,"16″ x 12″ (Horizontal) / 1.5""","{""size"": ""16″ x 12″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:2369x1778,1309,659,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93697,"20″ x 16″ (Horizontal) / 1.5""","{""size"": ""20″ x 16″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:2965x2369,1309,659,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93698,"24″ x 16″ (Horizontal) / 1.5""","{""size"": ""24″ x 16″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:3556x2369,1959,979,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93700,"30″ x 20″ (Horizontal) / 1.5""","{""size"": ""30″ x 20″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:4447x2965,1959,979,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93702,"36″ x 24″ (Horizontal) / 1.5""","{""size"": ""36″ x 24″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:5333x3556,1959,979,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93703,"40"" x 30"" (Horizontal) / 1.5""","{""size"": ""40\"" x 30\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:5924x4447,3269,1639,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1226,"Canvas Stretched, 1.5''",259,merchOne,93707,"8"" x 12"" (Vertical) / 1.5""","{""size"": ""8\"" x 12\"" (Vertical)"", ""depth"": ""1.5\""""}",,,front:1188x1778,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Secondary Test,OK,2026-05-05 12:37:29 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93909,"10"" x 8"" (Horizontal) / 1.5""","{""size"": ""10\"" x 8\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:3000x2400,1079,349,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93910,"12"" x 8"" (Horizontal) / 1.5""","{""size"": ""12\"" x 8\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:3600x2400,1079,349,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93911,"16″ x 12″ (Horizontal) / 1.5""","{""size"": ""16″ x 12″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:4800x3600,1229,429,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93912,"18″ x 12″ (Horizontal) / 1.5""","{""size"": ""18″ x 12″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:5400x3600,1229,429,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93913,"20"" x 16"" (Horizontal) / 1.5""","{""size"": ""20\"" x 16\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:6000x4800,1229,429,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93914,"24"" x 8"" (Horizontal) / 1.5""","{""size"": ""24\"" x 8\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:7200x2400,1519,569,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93915,"24"" x 12"" (Horizontal) / 1.5""","{""size"": ""24\"" x 12\"" (Horizontal)"", ""depth"": ""1.5\""""}",,,front:7200x3600,1519,569,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1238,Classic Stretched Canvas,48,Colorway,93916,"24″ x 16″ (Horizontal) / 1.5""","{""size"": ""24″ x 16″ (Horizontal)"", ""depth"": ""1.5\""""}",,,front:7200x4800,1519,569,": first={'cost': 2179, 'currency': 'USD'} add={'cost': 2179, 'currency': 'USD'} | : first={'cost': 3469, 'currency': 'USD'} add={'cost': 3469, 'currency': 'USD'} | : first={'cost': 559, 'currency': 'USD'} add={'cost': 559, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:31 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96924,"10"" x 8"" (Horizontal) / 0.75''","{""size"": ""10\"" x 8\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:2955x2365,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96925,"12"" x 8"" (Horizontal) / 0.75''","{""size"": ""12\"" x 8\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:3546x2365,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96926,8″ x 10″ (Vertical) / 0.75'',"{""size"": ""8″ x 10″ (Vertical)"", ""depth"": ""0.75''""}",,,front:2365x2955,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96927,"8"" x 12"" (Vertical) / 0.75''","{""size"": ""8\"" x 12\"" (Vertical)"", ""depth"": ""0.75''""}",,,front:2365x3546,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96928,"8"" x 8"" / 0.75''","{""size"": ""8\"" x 8\"""", ""depth"": ""0.75''""}",,,front:2365x2365,919,459,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96929,"12"" x 10"" (Horizontal) / 0.75''","{""size"": ""12\"" x 10\"" (Horizontal)"", ""depth"": ""0.75''""}",,,front:3546x2955,1309,659,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96930,"10"" x 12"" (Vertical) / 0.75''","{""size"": ""10\"" x 12\"" (Vertical)"", ""depth"": ""0.75''""}",,,front:2955x3546,1309,659,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1297,"Canvas Stretched, 0.75""",259,merchOne,96931,12″ x 12″ / 0.75'',"{""size"": ""12″ x 12″"", ""depth"": ""0.75''""}",,,front:3546x3546,1309,659,": first={'cost': 919, 'currency': 'USD'} add={'cost': 459, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 589, 'currency': 'USD'} | : first={'cost': 1309, 'currency': 'USD'} add={'cost': 659, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:32 -0400
Canvas,1,1936,"Canvas Art Wraps, 1.6""",72,Print Clever,119906,12″ x 18″ (Vertical) / 1.6”,"{""size"": ""12″ x 18″ (Vertical)"", ""depth"": ""1.6”""}",,,front:3592x5387,1629,1629,": first={'cost': 5419, 'currency': 'USD'} add={'cost': 5419, 'currency': 'USD'} | : first={'cost': 2399, 'currency': 'USD'} add={'cost': 2399, 'currency': 'USD'} | : first={'cost': 4399, 'currency': 'USD'} add={'cost': 4399, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:34 -0400
Canvas,1,1936,"Canvas Art Wraps, 1.6""",72,Print Clever,119908,18″ x 12″ (Horizontal) / 1.6”,"{""size"": ""18″ x 12″ (Horizontal)"", ""depth"": ""1.6”""}",,,front:5387x3592,1629,1629,": first={'cost': 5419, 'currency': 'USD'} add={'cost': 5419, 'currency': 'USD'} | : first={'cost': 2399, 'currency': 'USD'} add={'cost': 2399, 'currency': 'USD'} | : first={'cost': 4399, 'currency': 'USD'} add={'cost': 4399, 'currency': 'USD'}",Verify provider/cost,OK,2026-05-05 12:37:34 -0400
